__id__,icecat_brand_fixed,icecat_description_short,icecat_name,icecat_summary_short,icecat_title,generation,model
EF-KG980CLEGEU,samsung,"{'for', 'galaxi', 's20', 'cover', 'led'}",{'ef-kg980'},"{'blue', 'galaxi', '6.2', 's20', 'cover', 'ef-kg980', 'samsung'}","{'mobil', 'blue', '6.2', 'phone', 'cover', 'case', 'ef-kg980', 'samsung'}",1,10
EF-RG988CBEGEU,samsung,"{'for', 'ultra', 'galaxi', 'stand', 's20', 'cover', 'protect'}",{'ef-rg988'},"{'ef-rg988', 'ultra', '6.9', 'galaxi', 's20', 'cover', 'black', 'samsung'}","{'ef-rg988', 'mobil', '6.9', 'phone', 'cover', 'black', 'case', 'samsung'}",0,0
EF-KG988CBEGEU,samsung,"{'for', 'ultra', 'galaxi', 's20', 'cover', 'led'}",{'ef-kg988'},"{'ultra', '6.9', 'galaxi', 'ef-kg988', 's20', 'cover', 'black', 'samsung'}","{'mobil', '6.9', 'ef-kg988', 'phone', 'cover', 'black', 'case', 'samsung'}",0,0
EF-VG988LSEGEU,samsung,"{'for', 'ultra', 'galaxi', 's20', 'cover', 'leather'}",{'ef-vg988'},"{'ultra', '6.9', 'gray', 'galaxi', 's20', 'cover', 'ef-vg988', 'samsung'}","{'mobil', '6.9', 'gray', 'phone', 'cover', 'case', 'ef-vg988', 'samsung'}",0,0
EF-PG988TLEGEU,samsung,"{'for', 'ultra', 'galaxi', 'silicon', 's20', 'cover'}",{'ef-pg988'},"{'ultra', '6.9', 'blue', 'galaxi', 's20', 'cover', 'ef-pg988', 'samsung'}","{'mobil', '6.9', 'blue', 'phone', 'cover', 'case', 'ef-pg988', 'samsung'}",0,0
EF-VG988LREGEU,samsung,"{'for', 'ultra', 'galaxi', 's20', 'cover', 'leather'}",{'ef-vg988'},"{'ultra', '6.9', 'galaxi', 'red', 's20', 'cover', 'ef-vg988', 'samsung'}","{'mobil', '6.9', 'red', 'phone', 'cover', 'case', 'ef-vg988', 'samsung'}",0,0
EF-NG988PJEGEU,samsung,"{'for', 'ultra', 'view', 'galaxi', 's20', 'cover', 'led'}",{'ef-ng988'},"{'ultra', '6.9', 'gray', 'galaxi', 's20', 'ef-ng988', 'samsung', 'folio'}","{'mobil', '6.9', 'gray', 'phone', 'ef-ng988', 'case', 'samsung', 'folio'}",1,1
EF-NG988PBEGEU,samsung,"{'for', 'ultra', 'view', 'galaxi', 's20', 'cover', 'led'}",{'ef-ng988'},"{'ultra', '6.9', 'galaxi', 's20', 'ef-ng988', 'black', 'samsung', 'folio'}","{'mobil', '6.9', 'phone', 'ef-ng988', 'black', 'case', 'samsung', 'folio'}",1,1
EF-ZG988CJEGEU,samsung,"{'for', 'ultra', 'view', 'galaxi', 's20', 'cover', 'clear'}",{'ef-zg988'},"{'ultra', '6.9', 'gray', 'galaxi', 's20', 'ef-zg988', 'samsung', 'folio'}","{'mobil', '6.9', 'gray', 'phone', 'case', 'ef-zg988', 'samsung', 'folio'}",1,1
EF-ZG988CBEGEU,samsung,"{'for', 'ultra', 'view', 'galaxi', 's20', 'cover', 'clear'}",{'ef-zg988'},"{'ultra', '6.9', 'galaxi', 's20', 'black', 'ef-zg988', 'samsung', 'folio'}","{'mobil', '6.9', 'phone', 'black', 'case', 'ef-zg988', 'samsung', 'folio'}",1,1
EF-PG988TNEGEU,samsung,"{'for', 'ultra', 'galaxi', 'silicon', 's20', 'cover'}",{'ef-pg988'},"{'ultra', '6.9', 'galaxi', 's20', 'navi', 'cover', 'ef-pg988', 'samsung'}","{'mobil', '6.9', 'phone', 'navi', 'cover', 'case', 'ef-pg988', 'samsung'}",0,0
EF-NG985PJEGEU,samsung,"{'for', 'view', 'galaxi', 's20', 'cover', 'led'}",{'ef-ng985'},"{'gray', 'galaxi', 's20', '6.7', 'ef-ng985', 'samsung', 'folio'}","{'mobil', 'gray', '6.7', 'phone', 'case', 'ef-ng985', 'samsung', 'folio'}",1,1
EF-NG985PWEGEU,samsung,"{'for', 'view', 'galaxi', 's20', 'cover', 'led'}",{'ef-ng985'},"{'galaxi', 's20', '6.7', 'white', 'ef-ng985', 'samsung', 'folio'}","{'mobil', '6.7', 'phone', 'white', 'case', 'ef-ng985', 'samsung', 'folio'}",1,1
EF-VG985LSEGEU,samsung,"{'for', 'galaxi', 's20', 'cover', 'leather'}",{'ef-vg985'},"{'ef-vg985', 'galaxi', 'gray', 's20', '6.7', 'cover', 'samsung'}","{'mobil', 'ef-vg985', 'gray', '6.7', 'phone', 'cover', 'case', 'samsung'}",0,0
EF-KG985CWEGEU,samsung,"{'for', 'galaxi', 's20', 'cover', 'led'}",{'ef-kg985'},"{'galaxi', 's20', '6.7', 'cover', 'white', 'ef-kg985', 'samsung'}","{'mobil', '6.7', 'phone', 'cover', 'white', 'case', 'ef-kg985', 'samsung'}",0,0
EF-VG985LREGEU,samsung,"{'for', 'galaxi', 's20', 'cover', 'leather'}",{'ef-vg985'},"{'ef-vg985', 'galaxi', 'red', 's20', '6.7', 'cover', 'samsung'}","{'mobil', 'ef-vg985', 'red', '6.7', 'phone', 'cover', 'case', 'samsung'}",0,0
EF-XG985FJEGEU,samsung,"{'for', 'galaxi', 's20', 'cover', 'kvadrat'}",{'ef-xg985'},"{'gray', 'galaxi', 's20', '6.7', 'cover', 'ef-xg985', 'samsung'}","{'mobil', 'gray', '6.7', 'phone', 'ef-xg985', 'cover', 'case', 'samsung'}",0,0
EF-PG991TBEGWW,samsung,"{'s21', 'cover', 'silicon', 'galaxi'}",{'ef-pg991'},"{'galaxi', '6.2', 'ef-pg991', 'cover', 'black', 's21', 'samsung'}","{'mobil', '6.2', 'phone', 'ef-pg991', 'cover', 'black', 'case', 'samsung'}",2,2
EF-ZG991CJEGEW,samsung,"{'view', 'galaxi', 'cover', 'clear', 's21'}",{'ef-zg991'},"{'gray', 'galaxi', '6.2', 'cover', 'ef-zg991', 's21', 'samsung'}","{'mobil', 'gray', '6.2', 'phone', 'cover', 'ef-zg991', 'case', 'samsung'}",2,2
EF-ZG998CBEGEW,samsung,"{'ultra', 'view', 'galaxi', 'cover', 'clear', 's21'}",{'ef-zg998'},"{'ultra', 'galaxi', '6.8', 'cover', 'black', 'ef-zg998', 's21', 'samsung'}","{'mobil', 'phone', '6.8', 'cover', 'black', 'case', 'ef-zg998', 'samsung'}",2,2
EF-PG998TBEGWW,samsung,"{'ultra', 'silicon', 'galaxi', 'cover', 's21'}",{'ef-pg998'},"{'ultra', 'galaxi', '6.8', 'cover', 'black', 'ef-pg998', 's21', 'samsung'}","{'mobil', 'phone', '6.8', 'cover', 'black', 'case', 'ef-pg998', 'samsung'}",2,2
EF-PG99PTBEGWW,samsung,"{'s', 'silicon', 'cover', 'with', 'pen'}",{'ef-pg99p'},"{'ef-pg99p', 'ultra', 'galaxi', '6.8', 'cover', 'black', 's21', 'samsung'}","{'ef-pg99p', 'mobil', 'phone', '6.8', 'cover', 'black', 'case', 'samsung'}",0,3
EF-ZG998CJEGEW,samsung,"{'ultra', 'view', 'galaxi', 'cover', 'clear', 's21'}",{'ef-zg998'},"{'ultra', 'gray', 'galaxi', '6.8', 'cover', 'ef-zg998', 's21', 'samsung'}","{'mobil', 'gray', 'phone', '6.8', 'cover', 'case', 'ef-zg998', 'samsung'}",2,2
EF-PG996TBEGWW,samsung,"{'s21', 'cover', 'silicon', 'galaxi'}",{'ef-pg996'},"{'ef-pg996', 'galaxi', '6.7', 'cover', 'black', 's21', 'samsung'}","{'ef-pg996', 'mobil', '6.7', 'phone', 'cover', 'black', 'case', 'samsung'}",2,2
EF-ZG996CJEGEW,samsung,"{'view', 'galaxi', 'cover', 'clear', 's21'}",{'ef-zg996'},"{'gray', 'galaxi', '6.7', 'cover', 's21', 'ef-zg996', 'samsung'}","{'mobil', 'gray', '6.7', 'phone', 'cover', 'case', 'ef-zg996', 'samsung'}",2,2
EF-JG990CTEGWW,samsung,,"{'stand', 'fe', 'cover', 'clear', 's21', 'rug'}","{'s21fe', 'galaxi', 'stand', 'fe', 'cover', '6.41', 'clear', 'transpar', 's21', 'rug', 'samsung'}","{'mobil', 'stand', 'fe', 'phone', 'cover', '6.41', 'clear', 'case', 'transpar', 's21', 'rug', 'samsung'}",2,6
EF-XG990CWEGWW,samsung,"{'slim', 'galaxi', '6.4', 'fe', 'cover', 'white', 'strap', 's21', 'samsung'}",{'ef-xg990cwegww'},"{'galaxi', '6.4', 'fe', 'cover', 'ef-xg990cwegww', 'white', 's21', 'samsung'}","{'mobil', '6.4', 'phone', 'cover', 'ef-xg990cwegww', 'white', 'case', 'samsung'}",2,2
SENSATIONGALS21PLK,cellularline,"{'silicon', 'galaxi', 'soft-touch', 'microban', 'built-in', 'antibacteri', 'black', 'case', 'with', 'technolog', 'sensat', 's21'}",{'sensat'},"{'galaxi', '6.7', 'cover', 'cellularlin', 'black', 'sensat', 's21', 'samsung'}","{'mobil', '6.7', 'phone', 'cover', 'cellularlin', 'black', 'case', 'sensat'}",2,6
FINECGALS21T,cellularline,"{'galaxi', 'super-transpar', 'and', 'ultra-slim', 'transpar', 'fine', 's21', 'soft'}",{'fine'},"{'galaxi', '6.2', 'cover', 'cellularlin', 'transpar', 'fine', 's21', 'samsung'}","{'mobil', '6.2', 'phone', 'cover', 'cellularlin', 'case', 'transpar', 'fine'}",2,9
FINECGALS21PLT,cellularline,"{'galaxi', 'super-transpar', 'and', 'ultra-slim', 'transpar', 'fine', 's21', 'soft'}",{'fine'},"{'galaxi', '6.7', 'cover', 'cellularlin', 'transpar', 'fine', 's21', 'samsung'}","{'mobil', '6.7', 'phone', 'cover', 'cellularlin', 'case', 'transpar', 'fine'}",2,9
CLEARDUOGALS21T,cellularline,"{'strong', 'galaxi', 'rubber', 'clear', 'case', 'with', 'transpar', 'hard', 'edg', 's21'}","{'strong', 'clear'}","{'strong', 'galaxi', '6.2', 'cover', 'cellularlin', 'clear', 'transpar', 's21', 'samsung'}","{'strong', 'mobil', '6.2', 'phone', 'cover', 'cellularlin', 'clear', 'case', 'transpar'}",2,6
CLEARDUOGALS21UT,cellularline,"{'strong', 'ultra', 'galaxi', 'rubber', 'clear', 'case', 'with', 'transpar', 'hard', 'edg', 's21'}","{'strong', 'clear'}","{'strong', 'ultra', 'galaxi', '6.8', 'cover', 'cellularlin', 'clear', 'transpar', 's21', 'samsung'}","{'strong', 'mobil', 'phone', '6.8', 'cover', 'cellularlin', 'clear', 'case', 'transpar'}",2,6
TETRACGALS21T,cellularline,"{'strong', 'ultra-protect', 'galaxi', 'microban', 'built-in', 'antibacteri', 'case', 'forc', 'with', 'twist', 'technolog', 'transpar', 'tetra', 's21', 'flexibl'}","{'tetra', 'strong', 'twist', 'forc'}","{'strong', 'galaxi', '6.2', 'cover', 'cellularlin', 'black', 'forc', 'twist', 'transpar', 'tetra', 's21', 'samsung'}","{'strong', 'mobil', '6.2', 'phone', 'cover', 'cellularlin', 'black', 'case', 'forc', 'twist', 'transpar', 'tetra'}",2,6
FINECGALS20FET,cellularline,"{'galaxi', 'super-transpar', 's20', 'fe', 'and', 'ultra-slim', 'fine', 'soft'}",{'fine'},"{'galaxi', 's20', 'fe', 'cover', 'cellularlin', 'transpar', '6.5', 'fine', 'samsung'}","{'mobil', 'phone', 'cover', 'cellularlin', 'case', 'transpar', '6.5', 'fine'}",0,4
SENSATIONGALS20FEK,cellularline,"{'galaxi', 'silicon', 'soft-touch', 's20', 'fe', 'black', 'case', 'sensat'}",{'sensat'},"{'galaxi', 's20', 'fe', 'cover', 'cellularlin', 'black', '6.5', 'sensat', 'samsung'}","{'mobil', 'phone', 'cover', 'cellularlin', 'black', 'case', '6.5', 'sensat'}",0,4
